Player,Nationality,Region,Import,Team,Position,Adjusted Laning,Adjusted Vision,Adjusted Carry Score,Adjusted Versatility,Adjusted Threat,Experience
5kid,South Korea,LCK,T,KT Rolster,ADC,70,68,74,81,,
Abbedagge,Germany,LCS,T,100 Thieves,MID,83,60,70,87,,
Ablazeolive,Canada,LCS,F,Golden Guardians,MID,81,59,83,85,,
Adam,France,LEC,T,Fnatic,TOP,75,61,75,83,,
Advienne,Netherlands,LEC,T,Excel Esports,SUP,74,86,74,82,,
Akaadian,USA,LCS,F,Dignitas,JG,77,56,82,81,,
Alphari,Wales,LCS,T,Team Liquid,TOP,90,59,81,77,,
aphromoo,USA,LCS,F,Dignitas,SUP,76,78,66,75,,
Armao,USA,LCS,F,Team Liquid,JG,65,58,59,81,,
Armut,Turkey,LEC,T,MAD Lions,TOP,69,64,72,79,,
Arthur,South Korea,LCK,T,Hanwha Life Esports,JG,78,68,77,72,,
BAO,South Korea,LCK,T,DRX,ADC,69,67,72,73,,
Bdd,South Korea,LCK,T,Gen.G,MID,84,64,75,83,,
Becca,South Korea,LCK,T,DRX,SUP,76,92,85,79,,
BeryL,South Korea,LCK,T,DWG KIA,SUP,81,99,93,94,,
Blaber,USA,LCS,F,Cloud9,JG,87,59,77,83,,
Blank,South Korea,LCK,T,KT Rolster,JG,76,70,73,75,,
Blue,Belgium,LEC,T,SK Gaming,MID,58,64,97,81,,
Broken Blade,Germany,LEC,T,FC Schalke 04 Esports,TOP,78,63,85,87,,
Broxah,Denmark,LCS,T,Counter Logic Gaming,JG,58,61,74,87,,
Bwipo,Belgium,LEC,T,Fnatic,JG,80,65,81,89,,
Canna,South Korea,LCK,T,T1,TOP,86,65,99,79,,
Canyon,South Korea,LCK,T,DWG KIA,JG,83,66,87,90,,
Caps,Denmark,LEC,T,G2 Esports,MID,95,61,74,87,,
Carzzy,Czechia,LEC,T,MAD Lions,ADC,78,68,91,79,,
Chime,Canada,LCS,F,Golden Guardians,SUP,54,83,77,79,,
Chovy,South Korea,LCK,T,Hanwha Life Esports,MID,99,67,92,99,,
Clid,South Korea,LCK,T,Gen.G,JG,78,72,73,77,,
Closer,Turkey,LCS,T,100 Thieves,JG,72,59,80,77,,
CoreJJ,South Korea,LCS,T,Team Liquid,SUP,72,81,73,87,,
Croco,South Korea,LCK,T,Liiv SANDBOX,JG,73,66,74,77,,
Crownshot,Slovenia,LEC,T,Team Vitality,ADC,78,68,90,77,,
Cuzz,South Korea,LCK,T,T1,JG,75,74,77,77,,
Danny,USA,LCS,F,Evil Geniuses,ADC,64,66,80,85,,
Deft,South Korea,LCK,T,Hanwha Life Esports,ADC,82,70,83,89,,
Delight,South Korea,LCK,T,Fredit BRION,SUP,73,99,99,79,,
deokdam,South Korea,LCK,T,Nongshim RedForce,ADC,74,70,82,83,,
Destiny,Australia,LCS,F,Immortals,SUP,68,86,85,81,,
Diamond,Canada,LCS,F,FlyQuest,SUP,75,83,75,82,,
Doran,South Korea,LCK,T,KT Rolster,TOP,88,65,98,85,,
Dove,South Korea,LCK,T,KT Rolster,MID,86,67,94,81,,
